S. No,Roll No,Descriptive,Obj,Total
1,17241A0536,12,3,15
2,17241A0584,10,3,13
3,18241A05U1,11,3,14
4,18241A05U2,11.5,2,14
5,18241A05U3,12,3,15
6,18241A05U5,12,2,14
7,18241A05U6,8,3,11
8,18241A05U7,13,1,14
9,18241A05U8,10.5,4,15
10,18241A05U9,11.5,4,16
11,18241A05V0,9,3,12
12,18241A05V1,10.5,3,14
13,18241A05V2,10.5,3,14
14,18241A05V3,8.5,2,11
15,18241A05V4,13.5,3,17
16,18241A05V5,12,3,15
17,18241A05V6,12,4,16
18,18241A05V7,7,3,10
19,18241A05V8,8,3,11
20,18241A05V9,13,4,17
21,18241A05W0,13,3,16
22,18241A05W1,12.5,3,16
23,18241A05W2,11,3,14
24,18241A05W3,13,4,17
25,18241A05W4,13.5,5,19
26,18241A05W5,6.5,4,11
27,18241A05W6,12,3,15
28,18241A05W7,11.5,3,15
29,18241A05W8,11,3,14
30,18241A05W9,12,4,16
31,18241A05X0,13,2,15
32,18241A05X1,14,4,18
33,18241A05X2,12.5,3,16
34,18241A05X3,9.5,4,14
35,18241A05X4,9.5,3,13
36,18241A05X5,9,4,13
37,18241A05X6,12.5,4,17
38,18241A05X8,13,2,15
39,18241A05X9,13.5,4,18
40,18241A05Y0,8.5,4,13
41,18241A05Y1,7,4,11
42,18241A05Y2,12,3,15
43,18241A05Y3,12.5,4,17
44,18241A05Y4,13,3,16
45,18241A05Y5,11.5,3,15
46,18241A05Y6,9,3,12
47,18241A05Y7,8,3,11
48,18241A05Y8,11.5,4,16
49,18241A05Y9,12,4,16
50,18241A05Z0,12,4,16
51,18241A05Z1,12.5,3,16
52,18241A05Z2,9,4,13
53,18241A05Z3,10.5,3,14
54,18241A05Z4,14,4,18
55,18241A05Z5,13,3,16
56,18241A05Z6,13.5,4,18
57,18241A05Z7,13,4,17
58,18241A05Z8,8,4,12
59,18241A05Z9,14,4,18
60,18241A051A,6,2,8
61,19245A0531,13,3,16
62,19245A0532,13,3,16
63,19245A0533,13,4,17
64,19245A0534,9,3,12
65,19245A0535,10,3,13
66,19245A0536,12.5,4,17
