Branch,OC_Boys_First,OC_Boys_Last,OC_Girls_First,OC_Girls_Last,EWS_Boys_First,EWS_Boys_Last,EWS_Girls_First,EWS_Girls_Last,BCA_Boys_First,BCA_Boys_Last,BCA_Girl_First,BCA_Girls_Last,BCB_Boys_First,BCB_Boys_Last,BCB_Girls_First,BCB_Girls_Last,BCC_Boys_First,BCC_Boys_Last,BCC_Girls_First,BCC_Girls_Last,BCD_Boys_First,BCD_Boys_Last,BCD_Girls_First,BCD_Girls_Last,BCE_Boys_First,BCE_Boys_Last,BCE_Girls_First,BCE_Girl_Last,SC_Boys_First,SC_Boys_Last,SC_Girl_First,SC_Girl_Last,ST_Boys_First,ST_Boys_Last,ST_Girls_First,ST_Girls_Last,
CIVIL,17613,36504,,,40018,110271,28714,52391,27539,70302,87993,87993,27802,103239,46715,88762,--,--,--,--,20818,103000,25664,72852,34183,34183,105179,105179,38543,97308,45185,120840,22670,69752,104403,104403,
EEE,8466,9363,10093,16902,8756,34465,15428,39100,25825,58462,46019,67751,15636,91613,10806,92166,--,--,112240,112240,13462,64452,35143,79156,35646,76109,--,--,22482,70533,24835,66799,16553,49448,33079,33079,
MEC,14165,24995,,,36808,107646,,--,31698,62649,--,--,16136,113073,16387,61523,69877,69877,38137,81496,16276,62876,58790,58790,46246,77436,--,--,36699,119686,73487,117586,28300,121212,120546,120546,
ECE,3232,9115,2545,9513,6183,14010,5333,13578,8903,42105,9823,16306,4874,32858,3534,17518,25069,25069,24580,24580,4092,18508,6877,18857,16872,23016,18518,24278,16256,36367,14184,44085,18156,27957,21104,37975,
CSE,856,2690,587,3093,909,3138,1776,2600,1915,6104,3797,9225,1087,4217,2034,4465,5336,5336,--,--,1497,3643,2379,4098,3391,6245,2455,3442,5704,13541,3786,15845,10841,16097,15245,15581,
IT,2318,6309,3169,6647,3081,6761,3734,5650,6566,14842,10584,13586,2932,11251,6927,11647,17226,17226,14694,14694,4116,9260,6678,14607,4953,10614,8188,16325,15951,24259,18039,28337,20087,25078,22119,38193,
CSBS,2066,6006,2753,6369,4672,6150,5943,6832,10293,14600,11153,11153,3347,7675,7042,9384,--,--,--,--,5997,9298,6542,8367,15307,15307,16383,16383,19581,32528,27658,27658,23574,23574,33007,37126,
CSEDS,1720,3896,2208,4750,2026,3879,2208,3765,2793,8002,9563,10580,1960,7202,5034,7714,8820,8820,--,--,2821,6615,3282,5909,6923,9701,10006,10006,13098,19853,12792,28910,17716,23667,26111,26111,
CSEAIML,1446,3395,1535,4010,1886,3246,1535,4010,2315,6119,7748,8826,1783,5208,3366,6891,5414,5414,--,--,2003,4440,2251,6257,5262,5262,4214,7738,8269,17769,15532,25996,13897,17139,14182,32153,sss
